# featdisc games=400 players=2 seed=1 weights=/tmp/fs_champ_2p_frozen.json decisions=115457 forced=4983 mean_candidates=12.027 max_candidates=43 successor_states=1388633 elapsed_s=151.9
block	column	n_dec	const_frac	allzero_frac	mean_spread	max_spread	sd_chosen	spread_ratio	median_distinct	mean_distinct	p90_distinct
extra	rel_bkt_scirate_p1	115457	0.843543	0.705094	1.564565e-1	1.000000e0	4.218667e-1	0.370867	1	1.1565	2
extra	rel_bkt_scirate_p2	115457	0.954676	0.896282	4.532423e-2	1.000000e0	2.946046e-1	0.153848	1	1.0453	1
extra	rel_bkt_strength_m2	115457	0.964039	0.854916	3.596144e-2	1.000000e0	3.155456e-1	0.113966	1	1.0360	1
extra	rel_bkt_strength_m1	115457	0.834848	0.549633	1.651524e-1	1.000000e0	4.702102e-1	0.351231	1	1.1652	2
extra	rel_bkt_strength_0	115457	0.818712	0.775276	1.812883e-1	1.000000e0	3.206502e-1	0.565377	1	1.1813	2
extra	rel_bkt_strength_p1	115457	0.822713	0.614047	1.772868e-1	1.000000e0	4.676666e-1	0.379088	1	1.1773	2
extra	rel_bkt_strength_p2	115457	0.952060	0.877998	4.793993e-2	1.000000e0	3.230698e-1	0.148389	1	1.0479	1
extra	rel_x_culrate_gap_late	115457	0.489524	0.117308	4.950531e-1	1.000000e1	2.865731e0	0.172749	2	1.6622	3
extra	rel_x_culrate_lead_late	115457	0.757485	0.560442	2.449277e-1	1.000000e1	1.898644e0	0.129001	1	1.3160	2
extra	rel_x_culrate_def_late	115457	0.703197	0.528023	2.501254e-1	9.000000e0	1.733401e0	0.144297	1	1.3554	2
extra	rel_x_scirate_gap_late	115457	0.518531	0.185801	4.393020e-1	1.223026e1	1.645429e0	0.266983	1	1.5992	3
extra	rel_x_scirate_lead_late	115457	0.795335	0.642438	2.157669e-1	1.034868e1	1.084041e0	0.199039	1	1.2597	2
extra	rel_x_scirate_def_late	115457	0.670397	0.490564	2.235351e-1	7.315789e0	1.019613e0	0.219235	1	1.3570	2
extra	rel_x_culrate_gap_round	115457	0.489741	0.117308	9.537542e0	2.000000e2	5.622035e1	0.169646	2	1.6619	3
extra	rel_x_strength_gap_late	115457	0.427337	0.043436	6.988126e-1	1.200000e1	3.667295e0	0.190553	2	1.9568	3
extra	rel_x_culture_gap_late	115457	0.870030	0.064699	2.632961e-1	1.900000e1	2.206526e1	0.011933	1	1.1403	2
extra	rel_x_tech_gap_late	115457	0.930329	0.274293	8.262218e-2	3.105263e0	3.174600e0	0.026026	1	1.0705	1
extra	rel_proj_final_culture_gap	115457	0.377604	0.034835	7.607841e0	1.147605e2	4.276351e1	0.177905	2	1.7998	3
extra	rel_proj_final_lead	115457	0.684549	0.498220	3.511625e0	1.126667e2	2.586692e1	0.135757	1	1.4060	2
extra	rel_proj_final_deficit	115457	0.613103	0.456664	4.096216e0	7.739074e1	2.557360e1	0.160174	1	1.4722	2
extra	rel_trail_culrate	115457	0.703301	0.528023	7.343597e-2	1.000000e0	2.065224e-1	0.355584	1	1.3553	2
extra	rel_trail_scirate	115457	0.670743	0.490564	2.456777e-1	1.000000e0	3.321370e-1	0.739688	1	1.3566	2
extra	rel_share_culrate	115457	0.491620	0.010523	4.877482e-2	8.000000e-1	1.441736e-1	0.338306	2	1.6595	3
extra	rel_cond_handvalue_x_culdef	115457	0.723118	0.584365	3.907230e0	1.520000e2	1.847069e1	0.211537	1	1.5729	3
extra	rel_cond_handvalue_x_cullead	115457	0.762258	0.605966	4.173710e0	1.920000e2	1.865334e1	0.223751	1	1.5568	4
extra	rel_cond_scishort_x_scitrail	115457	0.855383	0.827789	7.936641e-1	5.400000e1	2.713208e0	0.292519	1	1.3986	3
extra	rel_ca_lead	115457	0.990516	0.803251	1.517448e-2	3.000000e0	8.326493e-1	0.018224	1	1.0099	1
extra	rel_ca_deficit	115457	0.996683	0.835454	4.581792e-3	3.000000e0	7.414336e-1	0.006180	1	1.0034	1
extra	rel_milhand_lead	115457	0.772365	0.664854	2.326321e-1	6.000000e0	1.393497e0	0.166941	1	1.2283	2
extra	rel_milhand_deficit	115457	0.616706	0.408100	3.892878e-1	7.000000e0	1.741796e0	0.223498	1	1.3838	2
extra	ctrl_b_wonder_gap	115457	0.985354	0.507288	1.464615e-2	1.000000e0	9.003892e-1	0.016266	1	1.0146	1
extra	ctrl_b_hand_civil_gap	115457	0.468304	0.112804	7.702608e-1	3.000000e0	1.756801e0	0.438445	2	1.7703	3
