ADJACENT BYTE-IDENTICAL TAKE LINES, SAME PLAYER -- all 1011 journals
game	line_a	line_b	colour	age	round	card	gap_s	run_len
7522514	106	107	Purple	II	7	Rich Land	3	2
7522516	618	619	Grey	III	17	Reserves	2	2
7522521	409	410	Orange	III	17	Reserves	21	2
7522526	83	84	Orange	I	6	Rich Land	2	2
7522536	278	279	Purple	III	16	Reserves	2	2
7522540	267	268	Purple	III	16	Revolutionary Idea	2	2
7522553	429	430	Orange	II	13	Breakthrough	1	2
7522557	249	250	Purple	III	14	Efficient Upgrade	2	2
7522560	67	68	Purple	I	4	Rich Land	2	2
7522573	194	195	Purple	II	11	Reserves	2	2
7522578	21	22	Purple	I	2	Frugality	34	2
7522581	24	25	Purple	I	2	Frugality	5	2
7522587	289	290	Purple	III	15	Efficient Upgrade	1	2
7522587	329	330	Orange	III	17	Urban Growth	2	2
7522608	11	12	Green	A	1	Rich Land	1	2
7522614	198	199	Purple	II	12	Reserves	2	2
7522614	317	318	Purple	III	17	Reserves	2	2
7522617	257	258	Purple	II	8	Breakthrough	1	2
7522617	268	269	Green	II	8	Reserves	66	2
7522619	344	345	Orange	III	13	Efficient Upgrade	2	2
7522621	256	257	Orange	III	15	Reserves	2	2
7522632	146	147	Orange	I	7	Breakthrough	19	2
7522640	358	359	Grey	II	11	Breakthrough	17	2
7522647	296	297	Orange	III	19	Reserves	2	2
7522648	26	27	Orange	I	3	Rich Land	5	2
7522650	241	242	Orange	III	14	Breakthrough	4	2
7522650	266	267	Orange	III	15	Revolutionary Idea	97	2
7522654	540	541	Purple	III	15	Reserves	8	2
7522663	35	36	Purple	I	3	Rich Land	1	2
7522673	448	449	Orange	III	17	Reserves	3	2
7522685	35	36	Purple	I	3	Rich Land	2	2
7522713	487	488	Purple	III	14	Reserves	2	2
7522713	585	586	Purple	III	16	Urban Growth	8	2
7522717	199	200	Purple	II	12	Breakthrough	1	2
7522725	343	344	Purple	III	17	Efficient Upgrade	1	2
7522731	240	241	Purple	III	13	Reserves	3	2
7522756	179	180	Purple	II	11	Breakthrough	3	2
7522756	189	190	Purple	II	11	Breakthrough	2	2
7522763	32	33	Orange	I	3	Rich Land	4	2
7522763	201	202	Orange	II	12	Efficient Upgrade	2	2
7522764	271	272	Purple	III	15	Revolutionary Idea	5	2
7522768	64	65	Purple	I	5	Reserves	1	2
7522783	42	43	Orange	I	4	Frugality	2	2
