# featdisc games=200 players=2 seed=5001 weights=/tmp/fs_champ_2p_frozen.json decisions=58114 forced=2517 mean_candidates=11.899 max_candidates=43 successor_states=691487 elapsed_s=74.3
block	column	n_dec	const_frac	allzero_frac	mean_spread	max_spread	sd_chosen	spread_ratio	median_distinct	mean_distinct	p90_distinct
extra	rel_bkt_culrate_m2	58114	0.958254	0.839901	4.174553e-2	1.000000e0	3.235136e-1	0.129038	1	1.0417	1
extra	rel_bkt_culrate_m1	58114	0.856902	0.647882	1.430980e-1	1.000000e0	4.321299e-1	0.331146	1	1.1431	2
extra	rel_bkt_culrate_0	58114	0.826875	0.716196	1.731252e-1	1.000000e0	3.896306e-1	0.444332	1	1.1731	2
extra	rel_bkt_culrate_p1	58114	0.857298	0.661820	1.427023e-1	1.000000e0	4.570522e-1	0.312223	1	1.1427	2
extra	rel_bkt_culrate_p2	58114	0.958289	0.850690	4.171112e-2	1.000000e0	3.559360e-1	0.117187	1	1.0417	1
extra	rel_bkt_scirate_m2	58114	0.953694	0.886017	4.630554e-2	1.000000e0	2.570807e-1	0.180121	1	1.0463	1
extra	rel_bkt_scirate_m1	58114	0.735124	0.553275	2.648759e-1	1.000000e0	4.216992e-1	0.628116	1	1.2649	2
extra	rel_bkt_scirate_0	58114	0.719241	0.541711	2.807585e-1	1.000000e0	4.813257e-1	0.583303	1	1.2808	2
extra	rel_bkt_scirate_p1	58114	0.839367	0.691124	1.606325e-1	1.000000e0	4.329580e-1	0.371012	1	1.1606	2
extra	rel_bkt_scirate_p2	58114	0.957773	0.908008	4.222735e-2	1.000000e0	2.758182e-1	0.153098	1	1.0422	1
extra	rel_bkt_strength_m2	58114	0.966394	0.857556	3.360636e-2	1.000000e0	3.155829e-1	0.106490	1	1.0336	1
extra	rel_bkt_strength_m1	58114	0.836717	0.551210	1.632825e-1	1.000000e0	4.694445e-1	0.347821	1	1.1633	2
extra	rel_bkt_strength_0	58114	0.820181	0.777111	1.798190e-1	1.000000e0	3.219457e-1	0.558538	1	1.1798	2
extra	rel_bkt_strength_p1	58114	0.825533	0.612193	1.744674e-1	1.000000e0	4.683424e-1	0.372521	1	1.1745	2
extra	rel_bkt_strength_p2	58114	0.951802	0.878515	4.819837e-2	1.000000e0	3.221092e-1	0.149634	1	1.0482	1
extra	rel_x_culrate_gap_late	58114	0.491104	0.110679	5.092049e-1	9.934211e0	2.943259e0	0.173007	2	1.6637	3
extra	rel_x_culrate_lead_late	58114	0.752091	0.553206	2.567602e-1	9.000000e0	1.958527e0	0.131099	1	1.3242	2
extra	rel_x_culrate_def_late	58114	0.710345	0.528805	2.524447e-1	8.822368e0	1.758321e0	0.143571	1	1.3497	2
extra	rel_x_scirate_gap_late	58114	0.527532	0.177530	4.445035e-1	1.000000e1	1.579432e0	0.281432	1	1.5892	3
extra	rel_x_scirate_lead_late	58114	0.797553	0.637643	2.201795e-1	1.000000e1	1.058570e0	0.207997	1	1.2579	2
extra	rel_x_scirate_def_late	58114	0.672747	0.482655	2.243239e-1	6.000000e0	9.605599e-1	0.233535	1	1.3535	2
extra	rel_x_culrate_gap_round	58114	0.491276	0.110679	9.814692e0	1.980000e2	5.780534e1	0.169789	2	1.6635	3
extra	rel_x_strength_gap_late	58114	0.430051	0.043071	6.969468e-1	1.176316e1	3.598449e0	0.193680	2	1.9560	3
extra	rel_x_culture_gap_late	58114	0.871632	0.060760	2.606712e-1	1.900000e1	2.575099e1	0.010123	1	1.1381	2
extra	rel_x_tech_gap_late	58114	0.931497	0.285439	8.080329e-2	3.973684e0	3.253059e0	0.024839	1	1.0694	1
extra	rel_proj_final_culture_gap	58114	0.380820	0.033675	7.642637e0	1.323557e2	4.790252e1	0.159546	2	1.7988	3
extra	rel_proj_final_lead	58114	0.679045	0.495440	3.663845e0	1.323557e2	2.888550e1	0.126840	1	1.4136	2
